"item_id","description"
0,Aufwendungen für das Ingangsetzen und Erweitern eines Betriebs
1,Immaterielle Vermögensgegenstände
2,Grundstücke
3,"grundstücksgleiche Rechte, einschließlich der Bauten auf fremden Grund"
4,Technische Anlagen
5,Technische Anlagen und Maschinen
6,"Andere Anlagen, Betriebs- und Geschäftsausstattung"
7,Geleistete Anzahlungen und Anlagen in Bau
8,Finanzanlagen
9,""
10,Bezugsverrechnung
11,Rohstoffe
12,Bezogene Teile
13,"Hilfstoffe, Betriebsstoffe"
14,Unfertige Erzeugnisse
15,Fertige Erzeugnisse
16,Waren
17,Noch nicht abrechenbare Leistungen
18,Geleistete Anzahlungen
19,Wertberichtigungen
20,Forderungen
21,Forderungen aus Lieferungen und Leistungen
22,Forderungen gegenüber verbundenen Unternehmen
23,Sonstige Forderungen
24,und Vermögensgegenstände
25,Forderungen aus der Abgabensverrechnung
26,Wertpapiere und Anteile
27,Kassenbestand
28,"Schecks, Guthaben bei Kreditinstituten"
29,Rechnungsabgrenzungsposten
30,Rückstellungen
31,"Anleihen, Verbindlichkeiten gegenüber Kreditinstituten"
32,Erhaltene Anzahlungen auf Bestellungen
33,Verbindlichkeiten aus Lieferungen und Leistungen
34,Verbindlichkeiten gegenüber verbundener Unternehmen
35,Verbindlichkeiten aus Steuern
36,Verbindlichkeiten im Rahmen der sozialen Sicherheit
37,Übrige sonstige Verbindlichkeiten
38,Übrige sonstige Verbindlichkeiten
39,Rechnungsabgrenzungsposten
40,Brutto-Umsatzerlöse
41,Brutto-Umsatzerlöse und Erlösschmälerungen
43,Brutto-Umsatzerlöse und Erlösschmälerungen
44,Brutto-Umsatzerlöse und Erlösschmälerungen
45,Bestandsveränderungen und aktivierte Eigenleistungen
46,Sonstige betriebliche Ertäge
47,Sonstige betriebliche Ertäge
48,Sonstige betriebliche Ertäge
49,Sonstige betriebliche Ertäge
50,Wareneinsatz
51,Verbrauch von Rohstoffen
52,Verbrauch von bezogenen Fertig- und Einzelteilen
53,Verbrauch von Hilfestoffen
54,Verbrauch von Betriebsstoffen
55,Verbrauch von Werkzeugen und anderen Erzeugungshilfsmitteln
56,"Verbrauch von Brenn- und Treibstoffen, Energie und Wasser"
57,Sonstige bezogene Herstellungsleistungen
58,Skontoerträge auf Materialaufwand sowie auf sonstige bezogene Leistungen
59,Aufwandsstellenrechnung
60,Löhne
61,Löhne
62,Gehälter
63,Gehälter
64,"Aufwendungen für Abfertigungen, Aufwendungen für Altersversorgung"
65,Gesetzlicher Sozialaufwand Arbeiter und Angestellte
66,Lohn- und gehaltsabhängige Abgaben und Pflichtbeiträge
67,Sonstige Sozialaufwendungen
68,Sonstige Sozialaufwendungen
69,Aufwandstellenrechnung
70,Abschreibungen
71,Sonstige Steuern
72,"Instandhaltung und Reinigung durch Dritte, Entsorgung, Beleuchtung"
73,"Transport-, Reise- und Fahrtaufwand, Nachrichtenaufwand"
74,"Miet-, Pracht-, Leasing- und Lizenzaufwand"
75,"Aufwendungen für beigestelltes Personal, Provisionen an Dritte, Aufsichtsratsvergütungen"
76,"Büro-, Werbe- und Repräsentationsaufwand"
77,Versicherungen
78,Übrige Aufwendungen
79,Konten für das Umsatzkostenverfahren
80,Finanzerträge
81,Finanzerträge und Finanzaufwendungen
82,Finanzerträge und Finanzaufwendungen
83,Finanzerträge und Finanzaufwendungen
84,Außerordentliche Erträge und außerordentliche Aufwendungen
85,Steuern vom Einkommen und Ertrag
86,Rücklagenbewegung
87,Ergebnisüberrechnung
88,""
89,""
90,"Gezeichnetes bzw gewidmetes Kapital, nicht eingeforderte austehende Einlagen"
91,"Gezeichnetes bzw gewidmetes Kapital, nicht eingeforderte austehende Einlagen"
92,Kapitalrücklagen
93,"Gewinnrücklagen, Bilanzgewinn, Bilanzverlust"
94,Bewertungsreserven und sonstige unversteuerte Rücklagen
95,Bewertungsreserven und sonstige unversteuerte Rücklagen
96,Privat- und Verrechnungskonten bei Einzelunternehmen und Personengesellschaften
97,Einlagen Stiller Gesellschafter
98,"Eröffnungsbilanz, Schlussbilanz, Gewinn- und Verlustrechnung"
99,Evidenzkonten
